id,name,description,price,category,restaurant_id
1,Casado tradicional,"Arroz, frijoles, ensalada, plátano y proteína",4500,Platos fuertes,1
2,Olla de carne,Sopa tradicional con carne y vegetales,5200,Sopas,1
3,Chifrijo,"Arroz, frijoles, chicharrón y pico de gallo",3800,Entradas,1
4,Refresco natural,Bebida de fruta de temporada,1500,Bebidas,1
5,Arroz con pollo,"Arroz con pollo, ensalada y papas",4200,Platos fuertes,1
6,Tres leches,Postre tradicional de tres leches,2300,Postres,1
7,Hamburguesa urbana,"Carne, queso, vegetales y salsa de la casa",5600,Comida rápida,2
8,Papas rústicas,Papas horneadas con especias y salsa,2200,Acompañamientos,2
9,Pizza margarita,"Salsa de tomate, mozzarella y albahaca",6200,Pizzas,2
10,Limonada con hierbabuena,Bebida natural con limón y hierbabuena,1800,Bebidas,2
11,Wrap de pollo,"Tortilla con pollo, vegetales y aderezo",4600,Comida rápida,2
12,Brownie con helado,Brownie de chocolate con helado de vainilla,2900,Postres,2
13,Café chorreado,Café costarricense preparado al momento,1400,Bebidas,3
14,Cheesecake de café,Postre cremoso elaborado con café,2800,Postres,3
15,Sándwich herediano,"Pan artesanal con jamón, queso y vegetales",4200,Sándwiches,3
16,Gallo pinto especial,"Gallo pinto con huevo, queso y natilla",3500,Desayunos,3
17,Capuchino,Café espresso con leche espumada,2100,Bebidas,3
18,Queque de zanahoria,Queque artesanal con cobertura cremosa,2500,Postres,3
19,Pollo a la plancha,Pechuga de pollo con vegetales y arroz,4900,Platos fuertes,4
20,Tacos alajuelenses,Tacos de carne con repollo y salsa,3600,Comida rápida,4
21,Sopa negra,Sopa de frijoles negros con huevo,3200,Sopas,4
22,Batido de mora,Batido natural de mora,1900,Bebidas,4
23,Empanada arreglada,"Empanada con carne, repollo y salsas",2400,Entradas,4
24,Flan de coco,Flan artesanal de coco,2300,Postres,4
25,Salmón a la parrilla,Salmón con vegetales y puré,8200,Platos fuertes,5
26,Pasta Alfredo,Pasta con salsa Alfredo y pollo,6500,Pastas,5
27,Ensalada mediterránea,"Lechuga, tomate, aceitunas y queso",4800,Ensaladas,5
28,Bruschetta,Pan tostado con tomate y albahaca,3300,Entradas,5
29,Té frío de frutos rojos,Té frío natural con frutos rojos,2100,Bebidas,5
30,Volcán de chocolate,Pastel de chocolate con centro líquido,3400,Postres,5
